 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(ACOX-1)																							 ibha#30	 C32H49NO8	575.73	 1355683-37-2	 3R-hydroxy-16R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-heptadecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#10	 C24H33NO8	463.52	 1355683-38-3	 3R-hydroxy-9-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#16	 C25H35NO8	477.55	 1355683-39-4	 3R-hydroxy-10-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-decanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#18	 C26H37NO8	491.57	 1355683-41-8	 3R-hydroxy-11-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-undecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#20	 C27H39NO8	505.6	 1355683-43-0	 3R-hydroxy-12-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-dodecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#22	 C28H41NO8	519.63	 1355683-45-2	 3R-hydroxy-13-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tridecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#24	 C29H43NO8	533.65	 1355683-47-4	 3R-hydroxy-14-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tetradecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibho#26	 C30H45NO8	547.68	 1355683-49-6	 3R-hydroxy-15-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-pentadecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 icas#1	 C22H29NO7	419.47	 1355681-28-5	 6R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-heptanoic acid	 <i>C. briggsae</i>	 none
(ACOX-1)																							 icas#2	 C21H27NO6	389.448	 TBD	" (2S,3R,5R,6R)-5-hydroxy-2-methyl-6-(((R)-5-oxohexan-2-yl)oxy)tetrahydro-2H-pyran-3-yl 1H-indole-3-carboxylate"	 <i>C. elegans</i>	 none
